"in bold, sample names (""DNA_CODE"") that have been changed. Will need to highlight these and update kev on the DB.",,,,,,,,,
,,,,,,,,,
Sample no.,Plate,Well,DNA_CODE,Locality,LAT_SOUTH,LONG_EAST,confirmed_species,Site,Collector
235,3,C06,E2,Ezeljachtspoort,-33.788511,22.53051,P. scabrum,1005,C_Chong
236,3,D06,E3,Ezeljachtspoort,-33.78851,22.530517,P. scabrum,1005,C_Chong
237,3,E06,E4,Ezeljachtspoort,-33.788486,22.530442,P. scabrum,1005,C_Chong
238,3,F06,E5,Ezeljachtspoort,-33.788521,22.530431,P. scabrum,1005,C_Chong
239,3,G06,NR1,"Ezeljachtspoort, N9 roadside",-33.825144,22.387771,P. scabrum,1006,C_Chong
240,3,H06,NR2,"Ezeljachtspoort, N9 roadside",-33.825123,22.387707,P. scabrum,1006,C_Chong
241,3,A07,NR3,"Ezeljachtspoort, N9 roadside",-33.825114,22.387733,P. scabrum,1006,C_Chong
242,3,B07,NR4,"Ezeljachtspoort, N9 roadside",-33.824873,22.387169,P. scabrum,1006,C_Chong
243,3,C07,NR5,"Ezeljachtspoort, N9 roadside",-33.824875,22.387172,P. scabrum,1006,C_Chong
244,3,D07,NR6,"Ezeljachtspoort, N9 roadside",-33.824587,22.386666,P. scabrum,1006,C_Chong
245,3,E07,NR7,"Ezeljachtspoort, N9 roadside",-33.824349,22.386229,P. scabrum,1006,C_Chong
246,3,F07,NR8,"Ezeljachtspoort, N9 roadside",-33.824188,22.385989,P. scabrum,1006,C_Chong
247,3,G07,NR9,"Ezeljachtspoort, N9 roadside",-33.824175,22.385964,P. scabrum,1006,C_Chong
248,3,H07,NR10,"Ezeljachtspoort, N9 roadside",-33.824026,22.385736,P. scabrum,1006,C_Chong
249,3,A08,NR11,"Ezeljachtspoort, N9 roadside",-33.82399,22.38569,P. scabrum,1006,C_Chong
250,3,B08,NR12,"Ezeljachtspoort, N9 roadside",-33.824418,22.38613,P. scabrum,1006,C_Chong
251,3,C08,NR13,"Ezeljachtspoort, N9 roadside",-33.824086,22.385643,P. scabrum_unkn,1006,C_Chong
252,3,D08,NR14,"Ezeljachtspoort, N9 roadside",-33.824154,22.385705,P. scabrum_unkn,1006,C_Chong
253,3,E08,NR15,"Ezeljachtspoort, N9 roadside",-33.82416,22.385655,P. scabrum_unkn,1006,C_Chong
254,3,F08,NR16,"Ezeljachtspoort, N9 roadside",-33.824157,22.385717,P. scabrum_unkn,1006,C_Chong
255,3,G08,N1,"Ezeljachtspoort, N9 roadside",-33.825126,22.38771,P. scabrum,1006,C_Chong
256,3,H08,N2,"Ezeljachtspoort, N9 roadside",-33.825003,22.387401,P. scabrum,1006,C_Chong
257,3,A09,N3,"Ezeljachtspoort, N9 roadside",-33.824952,22.387039,P. scabrum,1006,C_Chong
258,3,B09,N4,"Ezeljachtspoort, N9 roadside",-33.824649,22.386748,P. scabrum,1006,C_Chong
259,3,C09,N5,"Ezeljachtspoort, N9 roadside",-33.824562,22.386623,P. scabrum,1006,C_Chong
260,3,D09,N7,"Ezeljachtspoort, N9 roadside",-33.824185,22.385984,P. scabrum,1006,C_Chong
261,3,E09,N8,"Ezeljachtspoort, N9 roadside",-33.824128,22.385867,P. scabrum,1006,C_Chong
262,3,F09,N9,"Ezeljachtspoort, N9 roadside",-33.824422,22.386158,P. scabrum,1006,C_Chong
263,3,G09,dasklip3,Dasklip Pass,-32.8963,19.03596,P. scabrum,295,C_Chong
264,3,H09,dasklip4,Dasklip Pass,-32.8963,19.03596,P. scabrum,295,C_Chong
