E	Pbeach1_18	P20.8_1	P51.14_2	P20.1_7	P14.23_3	P55.02_1	P18.2_2	P45.6_3_2	P19.6_3_2	P88.08_3	P24.6_1	P14.6_3_1
F	P9.7_3_2	P2.3_3	P3.3_2	P1.5_1	P56.06_1	P20.3_1	P21.20b_3	P1.2_2	P50_51C_3	P74.17_2	Pbeach1_1	P1.2_3
G	P56.10_1	P56.11_2	P55.20_1	P1.3_2	P14.4_3	P56.14_3	P3.1_2	P40.05_3	P14.6_3_2	P3.6_1	P24.2_3	P14.1_1
H	P45.13_1	P2.5_4	P9.6_4	P21.7_3	P20.06_2	P1.6_3	P1.1C_2	P18.3xA6_1	P24.27_1	P20.6_1	P66.01_1	P45.22_2
												
PeleGHPlate12	1	2	3	4	5	6	7	8	9	10	11	12
A	P14.6_3_1	P56.07_2	P14.4_2	P14.7_3_1	P55.02_4	P14.5_2	P1.6_4	P74.17_1	Pbeach1_7	P56.09_3	Pbeach1_23	P45.3_3
B	P9.6_2	P66.01_4	Pbeach2_3	P14.23_2	P56.11_3	P9.5_3_1	P18.2_1	P50_51C_2	P1.1_3	P21.20b_2	P3.4_2	P9.7_3_1
C	P20.1_4	P66.12_4	Pbeach1_17	P45.08_2	P20.7_4	P14.7_2	P24.26_4	P66.12_6	PA9.1_1	P2.2_4	Ptongaense_5	P9.4_2
D	P20.06_1	P3.6_2	P56.09_1	P19.6_3_1	P67.03_1	P2.6_2	P40.05_2	P24.17_2	PPK20_4	P45.4_3	P20.3_3_3	P14.6_5
E	P20.3_4	P9.4C_4	P9.4C_2	P20.06_1	P9.5_3_3	P18.3xA6_2	P14.6_3	P5.12_5	P88.06_2	P19.6_1	P21.8_4	P5.13_5
F	P56.13_1	Pbeach1_5	P50.14_2	P50_51C_4	P56.11_2	P56.14_2	P21.7_2	P56.14_3	Pbeach2_5	P2.2_1	P1.1_1	EMPTY
G	P55.02_2	P67.03_3	P3.3_3	P20.1_6	P5.13_1	P45.06_1	P20.3_2	P1.1C_1	P18.1xA6_2	P45.4_3_3	P50.11_2	EMPTY
H	Pbeach1_11	P14.1_5	P14.5_5	P66.01_2	P14.10C_3	P40.05_4	P21.10_2	P2.3_4	P14.6_1	P14.10C_1	P56.10_2	EMPTY
												
PeleGHPlate13	1	2	3	4	5	6	7	8	9	10	11	12
A	P2.3_2	Pbeach1_15	P20.1_3	P20.7_2	P55.03_1	P56.13_3	P20.5C_4	EMPTY	EMPTY	EMPTY	EMPTY	EMPTY
B	P45.4_A4_2	P14.5_4	P51.14_1	P50_51.8_3_1	P2.6_4	P2.5_3	P20.8_4	EMPTY	EMPTY	EMPTY	EMPTY	EMPTY
C	P19.6_3_3	P56.06_2	P56.07_3	P1.5_2	P3.3_1	P1.3_1	P56.11_1	EMPTY	EMPTY	EMPTY	EMPTY	EMPTY
D	P20.1_8	Pbeach1_22	P20.8_2	P14.4C_6	P45.6_1	P45.2xA4_4	P24.26_2	EMPTY	EMPTY	EMPTY	EMPTY	EMPTY
E	Pbeach1_9	P56.07_1	Ptongaense_3	Pbeach1_19	P18.2xA6_3	P45.4_1	P88.08_4	EMPTY	EMPTY	EMPTY	EMPTY	EMPTY
F	P20.06_3	P14.4C_1	P45.5_3_2	Ptongaense_8	P24.28_2	P24.31_1	P1.6_2	EMPTY	EMPTY	EMPTY	EMPTY	EMPTY
G	P56.10_4	P14.1_4	P14.1_3	P5.12_3	P20.1_2	P45.22_4	P51.14_2	EMPTY	EMPTY	EMPTY	EMPTY	EMPTY
H	P51.14_1	P9.5_2	P51.14_4	P45.2xA4_2	P1.3_3	P24.3_1	EMPTY	EMPTY	EMPTY	EMPTY	EMPTY	EMPTY
												
Pscabrum_SAf2012_Plate1	1	2	3	4	5	6	7	8	9	10	11	12
A	K100	K15	K14	VR5	VR13	VR22	VR32	VR37	VR45	VR53	291_6	294_6
B	K3	K19	K16	VR6	VR15	VR23	VR35	VR38	VR46	VR54	291_7	294_7
C	K6	K1	K17	VR7	VR16	VR24	VR14	VR39	VR47	VR55	291_8	294_8
