"plate.name","well","value"
"PeleGHPlate5","A08","UDP_UD20_9"
"PeleGHPlate5","A09","KB_K19_3"
"PeleGHPlate5","A10","UDP_UP45_6"
"PeleGHPlate5","A11","HB_HB46_2"
"PeleGHPlate5","A12","UDP_UP45_15"
"PeleGHPlate5","B01","UDP_UD4_12"
"PeleGHPlate5","B02","HB_HB32_6"
"PeleGHPlate5","B03","HB_HB16_2"
"PeleGHPlate5","B04","EZE_EZ2_2"
"PeleGHPlate5","B05","UDP_UP38_20"
"PeleGHPlate5","B06","HB_HB17_5"
"PeleGHPlate5","B07","ME_ME17_2"
"PeleGHPlate5","B08","KB_K7_3"
"PeleGHPlate5","B09","VR_VR31_1"
"PeleGHPlate5","B10","VR_VR31_4"
"PeleGHPlate5","B11","EZE_EZ7_2"
"PeleGHPlate5","B12","FG_FG24_4"
"PeleGHPlate5","C01","PKHLEI_LG9_1"
"PeleGHPlate5","C02","SEW_SEW6_4"
"PeleGHPlate5","C03","KB_K8_1"
"PeleGHPlate5","C04","NR_NR8_14"
"PeleGHPlate5","C05","UDP_UD14_6"
"PeleGHPlate5","C06","UDP_M1U_5"
"PeleGHPlate5","C07","UDP_UP39_3"
"PeleGHPlate5","C08","EZE_EZ11_7"
"PeleGHPlate5","C09","VR_VR3_2"
"PeleGHPlate5","C10","UDP_UP45_13"
"PeleGHPlate5","C11","PKHLEI_LG15_6"
"PeleGHPlate5","C12","UDP_UD4_3"
"PeleGHPlate5","D01","MB_MB16_2"
"PeleGHPlate5","D02","FG_FG24_6"
"PeleGHPlate5","D03","ME_ME17_23"
"PeleGHPlate5","D04","UDP_UD10_4"
"PeleGHPlate5","D05","UDP_M13_7"
"PeleGHPlate5","D06","VR_VR35_1"
"PeleGHPlate5","D07","UDP_UP45_11"
"PeleGHPlate5","D08","HB_HB41_2"
"PeleGHPlate5","D09","UDP_UD13_10"
"PeleGHPlate5","D10","KB_K15_11"
"PeleGHPlate5","D11","UDP_M5_5"
"PeleGHPlate5","D12","FG_FG27_2"
"PeleGHPlate5","E01","KB_K19_1"
"PeleGHPlate5","E02","KB_K13_3"
"PeleGHPlate5","E03","ME_ME6_2"
"PeleGHPlate5","E04","HB_HB11_7"
"PeleGHPlate5","E05","UDP_UP38_16"
"PeleGHPlate5","E06","VR_VR23_18"
"PeleGHPlate5","E07","EZE_EZ5_6"
"PeleGHPlate5","E08","HB_HB16_4"
"PeleGHPlate5","E09","KB_K13_5"
"PeleGHPlate5","E10","UDP_M13_5"
"PeleGHPlate5","E11","UDP_M1U_3"
"PeleGHPlate5","E12","SB_SB10_3"
"PeleGHPlate5","F01","ME_ME17_29"
"PeleGHPlate5","F02","PK_ORW8_1"
"PeleGHPlate5","F03","UDP_UD5_2"
"PeleGHPlate5","F04","UDP_UP38_8"
"PeleGHPlate5","F05","HB_HB47_8"
"PeleGHPlate5","F06","HB_HB49_6"
"PeleGHPlate5","F07","ME_ME2_2"
"PeleGHPlate5","F08","UDP_M8_5"
"PeleGHPlate5","F09","HB_HB14_1"
"PeleGHPlate5","F10","VR_VR1_9"
"PeleGHPlate5","F11","SEW_SEW6_8"
"PeleGHPlate5","F12","UDP_UP45_24"
"PeleGHPlate5","G01","VR_VR16_2"
"PeleGHPlate5","G02","ME_ME6_6"
"PeleGHPlate5","G03","UDP_UP38_24"
"PeleGHPlate5","G04","ME_ME8_11"
"PeleGHPlate5","G05","ME_ME17_9"
"PeleGHPlate5","G06","ME_ME8_6"
"PeleGHPlate5","G07","UDP_UD20_6"
"PeleGHPlate5","G08","ME_ME17_7"
"PeleGHPlate5","G09","HB_HB11_5"
"PeleGHPlate5","G10","UDP_M1U_9"
"PeleGHPlate5","G11","ME_ME8_8"
"PeleGHPlate5","G12","HB_HB28_4"
"PeleGHPlate5","H01","NR_NR12_4"
"PeleGHPlate5","H02","SEW_SEWUSE3_2"
"PeleGHPlate5","H03","HB_HB17_1"
"PeleGHPlate5","H04","UDP_M13_30"
"PeleGHPlate5","H05","UDP_UD13_2"
"PeleGHPlate5","H06","HB_HB41_12"
"PeleGHPlate5","H07","UDP_UD20_8"
"PeleGHPlate5","H08","MID_MB12_1"
"PeleGHPlate5","H09","SB_SW4_1"
"PeleGHPlate5","H10","HB_HB11_9"
"PeleGHPlate5","H11","ME_MEP2_4"
"PeleGHPlate5","H12","WOR_FG21_1"
"PeleGHPlate6","A01","KB_K6_2"
"PeleGHPlate6","A02","HB_HB47_5"
"PeleGHPlate6","A03","HB_HB14_3"
"PeleGHPlate6","A04","PVR4_1"
"PeleGHPlate6","A05","PHB33_4"
"PeleGHPlate6","A06","PME10_3"
"PeleGHPlate6","A07","PM16U_6"
"PeleGHPlate6","A08","PME15_4"
"PeleGHPlate6","A09","PEZ1_5"
"PeleGHPlate6","A10","PMB16_2"
"PeleGHPlate6","A11","PK19_11"
"PeleGHPlate6","A12","PUD11_1"
"PeleGHPlate6","B01","HB_HB49_1"
"PeleGHPlate6","B02","EZE_EZ9_3"
"PeleGHPlate6","B03","ME_ME17_5"
"PeleGHPlate6","B04","PM16U_4"
"PeleGHPlate6","B05","PEZ1_1"
"PeleGHPlate6","B06","PUD4_2"
"PeleGHPlate6","B07","PSW4_2"
"PeleGHPlate6","B08","PPK20_4"
"PeleGHPlate6","B09","PM16U_8"
"PeleGHPlate6","B10","PFG29_1"
"PeleGHPlate6","B11","PUD11_5"
"PeleGHPlate6","B12","PHB33_2"
"PeleGHPlate6","C01","KB_K19_9"
"PeleGHPlate6","C02","UDP_UP38_2"
"PeleGHPlate6","C03","UDP_UD4_9"
"PeleGHPlate6","C04","PK15_2"
"PeleGHPlate6","C05","PM16U_2"
"PeleGHPlate6","C06","PUD7_1"
"PeleGHPlate6","C07","PSW11_5"
"PeleGHPlate6","C08","PSEW3_1"
"PeleGHPlate6","C09","PEZ2_1"
"PeleGHPlate6","C10","PUD11_3"
"PeleGHPlate6","C11","PME10_5"
"PeleGHPlate6","C12","PK3_3"
"PeleGHPlate6","D01","HB_HB11_11"
"PeleGHPlate6","D02","ME_ME9_5"
"PeleGHPlate6","D03","UDP_M5_3"
"PeleGHPlate6","D04","PK19_17"
"PeleGHPlate6","D05","PMB16_4"
"PeleGHPlate6","D06","PK19_7"
"PeleGHPlate6","D07","PK13_2"
"PeleGHPlate6","D08","PK19_21"
"PeleGHPlate6","D09","PUD7_5"
"PeleGHPlate6","D10","PFG17_1"
"PeleGHPlate6","D11","PK100_3"
"PeleGHPlate6","D12","PME15_2"
"PeleGHPlate6","E01","UDP_UD13_12"
"PeleGHPlate6","E02","KB_K15_5"
"PeleGHPlate6","E03","PEZ3_1"
"PeleGHPlate6","E04","PME10_1"
"PeleGHPlate6","E05","PSW11_1"
"PeleGHPlate6","E06","PSB10_2"
"PeleGHPlate6","E07","PK15_8"
"PeleGHPlate6","E08","PHB5_2"
"PeleGHPlate6","E09","PK3_1"
"PeleGHPlate6","E10","PHB15_1"
"PeleGHPlate6","E11","Pfg2_4"
"PeleGHPlate6","E12","PM16U_3"
"PeleGHPlate6","F01","HB_HB46_6"
"PeleGHPlate6","F02","ME_MEP2_9"
"PeleGHPlate6","F03","PNR8_3"
"PeleGHPlate6","F04","PUD4_6"
"PeleGHPlate6","F05","PK100_4"
"PeleGHPlate6","F06","PNR16_1"
"PeleGHPlate6","F07","PHB5_4"
"PeleGHPlate6","F08","PUD7_9"
"PeleGHPlate6","F09","PSW4_4"
"PeleGHPlate6","F10","PSB16_2"
"PeleGHPlate6","F11","PME16_1"
"PeleGHPlate6","F12","PPK20_2"
"PeleGHPlate6","G01","ME_ME8_5"
"PeleGHPlate6","G02","PK_PH13_1"
"PeleGHPlate6","G03","PK19_9"
"PeleGHPlate6","G04","PUD7_3"
"PeleGHPlate6","G05","PSW11_3"
"PeleGHPlate6","G06","PME16_4"
"PeleGHPlate6","G07","PMB12_4"
"PeleGHPlate6","G08","PK19_1"
"PeleGHPlate6","G09","PK19_15"
"PeleGHPlate6","G10","PNR8_1"
"PeleGHPlate6","G11","PK19_13"
"PeleGHPlate6","G12","PMB12_1"
"PeleGHPlate6","H01","HB_HB41_14"
"PeleGHPlate6","H02","UDP_UD13_6"
"PeleGHPlate6","H03","PK100_1"
"PeleGHPlate6","H04","PK6_1"
"PeleGHPlate6","H05","PSWEUSE3_1"
"PeleGHPlate6","H06","Pfg2_2"
"PeleGHPlate6","H07","PK6_2"
"PeleGHPlate6","H08","PM1U_6"
"PeleGHPlate6","H09","PM1U_2"
"PeleGHPlate6","H10","Pfg2_6"
"PeleGHPlate6","H11","PSB16_6"
"PeleGHPlate6","H12","PHB15_2"
"PeleGHPlate7","A01","PK15_3"
"PeleGHPlate7","A02","PUD7_7"
